Period,Year,Season,Date,TrawlType,Site,Replicate,time_start,time_end,lat_start,long_start,lat_end,long_end,trawl_length_min,depth_m,depth_start_m,depth_end_m,depth_min_m,depth_max_m,tow_direction,boat_speed_knts_avg,collectors
Pre-Decline,2006,Spring,4/22/2006,Otter,Otter 2,1,2006-04-22 10:57:00 PDT,2006-04-22 11:07:00 PDT,35.35788333,-120.8516833,35.357,-120.8598333,10,6,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Otter,Otter 2,2,2006-04-22 11:20:00 PDT,2006-04-22 11:30:00 PDT,35.35805,-120.8517,35.35701667,-121.8611667,10,6.7,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Otter,Otter 2,3,2006-04-22 11:39:00 PDT,2006-04-22 11:49:00 PDT,35.35636667,-120.8526667,35.35426667,-120.8483333,10,4,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Otter,Otter 3,1,2006-04-22 12:28:00 PDT,2006-04-22 12:38:00 PDT,35.36908333,35.36641667,-120.8632167,-120.86555,10,6.7,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Otter,Otter 3,2,2006-04-22 13:15:00 PDT,2006-04-22 13:25:00 PDT,35.36873333,35.366,-120.8560167,-120.8541,10,6,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Otter,Otter 3,3,2006-04-22 13:31:00 PDT,2006-04-22 13:41:00 PDT,35.36638333,35.36913333,-120.8543667,-120.8562167,10,5,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Beam,Beam 1,1,2006-07-26 11:44:00 PDT,2006-07-26 11:54:00 PDT,35.3476,-120.8486833,35.34606667,-120.8621667,10,1.1,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Beam,Beam 1,2,2006-07-26 11:56:00 PDT,2006-07-26 12:06:00 PDT,35.34586667,-120.8626667,35.3479,-120.8578333,10,0.6,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Beam,Beam 1,3,2006-07-26 12:14:00 PDT,2006-07-26 12:24:00 PDT,35.3479,-120.8561667,35.3458,-120.8516667,10,1.3,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Beam,Beam 2,1,2006-07-26 12:33:00 PDT,2006-07-26 12:43:00 PDT,35.34111667,-120.8491333,35.33855,-120.8596667,10,1.1,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Beam,Beam 2,2,2006-07-26 12:50:00 PDT,2006-07-26 13:02:00 PDT,35.33866667,-120.8611667,35.33848333,-120.8585,12,1.8,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Beam,Beam 2,3,2006-07-26 13:07:00 PDT,2006-07-26 13:17:00 PDT,35.3386,-120.8601667,35.33641667,-120.8615,10,1.1,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Otter,Otter 1,1,2006-07-26 10:43:00 PDT,2006-07-26 10:53:00 PDT,35.34793333,-120.8450333,35.34976667,-120.84585,10,4,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Otter,Otter 1,2,2006-07-26 11:04:00 PDT,2006-07-26 11:14:00 PDT,35.34705,-120.8461667,35.34908333,-120.84605,10,4,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Otter,Otter 1,3,2006-07-26 11:24:00 PDT,2006-07-26 11:34:00 PDT,35.3471,-120.84605,35.34928333,-120.8459833,10,5,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Otter,Otter 2,1,2006-07-26 09:02:00 PDT,2006-07-26 09:12:00 PDT,35.35456667,-120.8489667,35.35628333,-120.8493333,10,4.3,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Otter,Otter 2,2,2006-07-26 09:19:00 PDT,2006-07-26 09:29:00 PDT,35.35565,-120.8487833,35.355,-120.8482167,10,2.8,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Otter,Otter 2,3,2006-07-26 10:06:00 PDT,2006-07-26 10:05:00 PDT,35.35508333,-120.8476333,35.35636667,-120.8491,-1,3.8,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Otter,Otter 3,1,2006-07-26 07:30:00 PDT,2006-07-26 07:40:00 PDT,35.36336667,-120.8651667,35.375,-120.8653667,10,4.5,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Otter,Otter 3,2,2006-07-26 07:51:00 PDT,2006-07-26 08:01:00 PDT,35.36241667,-120.8647167,35.36505,-120.8654333,10,4.7,,,,,,,Stephens
Pre-Decline,2006,Summer,7/26/2006,Otter,Otter 3,3,2006-07-26 08:16:00 PDT,2006-07-26 08:26:00 PDT,35.36186667,-120.8654333,35.36511667,-120.8655167,10,5.8,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Beam,Beam 1,1,2007-11-17 09:43:00 PDT,2007-11-17 09:53:00 PDT,35.3226,-120.8552333,35.32433333,-120.85275,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Beam,Beam 1,2,2007-11-17 09:56:00 PDT,2007-11-17 10:06:00 PDT,35.32441667,-120.8527,35.32478333,-120.8538167,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Beam,Beam 1,3,2007-11-17 10:12:00 PDT,2007-11-17 10:22:00 PDT,35.32508333,-120.85405,35.32543333,-120.8528,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Beam,Beam 2,1,2007-11-17 08:51:00 PDT,2007-11-17 09:01:00 PDT,35.32956667,-120.8556667,35.33086667,-120.8542167,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Beam,Beam 2,2,2007-11-17 09:07:00 PDT,2007-11-17 09:17:00 PDT,35.33113333,-120.8546,35.33315,-120.8534,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Beam,Beam 2,3,2007-11-17 09:20:00 PDT,2007-11-17 09:30:00 PDT,35.33331667,-120.8534833,35.34633333,-120.85395,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Beam,Beam 4,1,2007-11-17 08:07:00 PDT,2007-11-17 08:17:00 PDT,35.32496667,-120.8529333,35.32595,-120.8665,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Beam,Beam 4,2,2007-11-17 08:21:00 PDT,2007-11-17 08:31:00 PDT,35.32496667,-120.8524667,35.3259,-120.8638333,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Beam,Beam 4,3,2007-11-17 08:34:00 PDT,2007-11-17 08:44:00 PDT,35.32566667,-120.85205,35.32621667,-120.8573333,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Otter,Otter 1,1,2007-11-17 09:23:00 PDT,2007-11-17 09:33:00 PDT,35.34576667,-120.8432,35.34748333,-120.84485,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Otter,Otter 1,2,2007-11-17 09:50:00 PDT,2007-11-17 10:00:00 PDT,35.34708333,-120.845,35.34463333,-120.8475333,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Otter,Otter 1,3,2007-11-17 10:22:00 PDT,2007-11-17 10:32:00 PDT,35.3446,-120.8458333,35.34233333,-120.8464333,10,1,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Otter,Otter 2,1,2007-11-17 11:12:00 PDT,2007-11-17 11:22:00 PDT,35.36231667,-120.85305,35.36473333,-120.8536833,10,6,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Otter,Otter 2,2,2007-11-17 11:33:00 PDT,2007-11-17 11:43:00 PDT,35.36368333,-120.8520333,35.36626667,-120.8541667,10,6,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Otter,Otter 2,3,2007-11-17 11:57:00 PDT,2007-11-17 12:07:00 PDT,35.36565,-120.8542333,35.37933333,-120.8553833,10,6,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Otter,Otter 3,1,2007-11-17 12:26:00 PDT,2007-11-17 12:36:00 PDT,35.36135,-120.8656,35.36568333,-120.8656,10,5.5,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Otter,Otter 3,2,2007-11-17 12:48:00 PDT,2007-11-17 12:58:00 PDT,35.36563333,-120.8656667,35.38066667,-120.8635167,10,5.5,,,,,,,Stephens
Pre-Decline,2007,Fall,11/17/2007,Otter,Otter 3,3,2007-11-17 13:13:00 PDT,2007-11-17 13:23:00 PDT,35.37058333,-120.8521667,35.37178333,-120.8601667,10,3.5,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Beam,Beam 1,1,2007-03-31 08:12:00 PDT,2007-03-31 08:22:00 PDT,35.34973333,-120.8474667,35.3486,-120.857,10,1,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Beam,Beam 1,2,2007-03-31 08:26:00 PDT,2007-03-31 08:36:00 PDT,35.34853333,-120.855,35.34916667,-120.8478333,10,1,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Beam,Beam 1,3,2007-03-31 08:39:00 PDT,2007-03-31 08:49:00 PDT,35.34916667,-120.8478333,35.34761667,-120.8487,10,1.5,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Beam,Beam 2,1,2007-03-31 08:58:00 PDT,2007-03-31 09:08:00 PDT,35.34118333,-120.849,35.33976667,-120.852,10,1.5,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Beam,Beam 2,2,2007-03-31 09:12:00 PDT,2007-03-31 09:22:00 PDT,35.33958333,-120.85205,35.33945,-120.8545667,10,1,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Beam,Beam 2,3,2007-03-31 09:39:00 PDT,2007-03-31 09:49:00 PDT,35.33805,-120.85495,35.33816667,-120.85755,10,1,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Beam,Beam 4,1,2007-03-31 10:14:00 PDT,2007-03-31 10:14:00 PDT,35.32296667,-120.8556,35.32068333,-120.85445,0,1,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Beam,Beam 4,2,2007-03-31 10:18:00 PDT,2007-03-31 10:28:00 PDT,35.32073333,-120.8544667,35.31923333,-120.8569833,10,1,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Beam,Beam 4,3,2007-03-31 10:31:00 PDT,2007-03-31 10:41:00 PDT,35.31933333,-120.8565333,35.32088333,-120.8542667,10,1,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Otter,Otter 1,1,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Otter,Otter 1,2,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Otter,Otter 1,3,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Otter,Otter 2,1,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Otter,Otter 2,2,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Otter,Otter 2,3,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Spring,3/31/2007,Otter,Otter 3,1,2007-03-31 08:40:00 PDT,2007-03-31 08:50:00 PDT,35.36233333,-120.8652667,35.38233333,-120.8637833,10,2,,,,,,,Stephens
Pre-Decline,2007,Spring,6/27/2007,Otter,Otter 3,2,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Spring,6/27/2007,Otter,Otter 3,3,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Beam,Beam 1,1,2007-08-07 07:45:00 PDT,2007-08-07 07:55:00 PDT,35.34988333,-120.8467833,35.3488,-120.84935,10,1,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Beam,Beam 1,2,2007-08-07 07:59:00 PDT,2007-08-07 08:09:00 PDT,35.34895,-120.8490833,35.34816667,-120.8480833,10,1,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Beam,Beam 1,3,2007-08-07 08:16:00 PDT,2007-08-07 08:26:00 PDT,35.3486,-120.84845,35.349,-120.8494667,10,1,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Beam,Beam 2,1,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Beam,Beam 2,2,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Beam,Beam 2,3,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Beam,Beam 4,1,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Beam,Beam 4,2,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Beam,Beam 4,3,,,,,,,,,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Otter,Otter 1,1,2007-08-07 11:55:00 PDT,2007-08-07 12:05:00 PDT,35.34933333,-120.8447667,35.34713333,-120.8448167,10,4,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Otter,Otter 1,2,2007-08-07 12:14:00 PDT,2007-08-07 12:24:00 PDT,35.34783333,-120.84495,35.3464,-120.8431667,10,3,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Otter,Otter 1,3,2007-08-07 12:43:00 PDT,2007-08-07 13:00:00 PDT,35.34635,-120.8472833,35.34596667,-120.84625,17,4,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Otter,Otter 2,1,2007-08-07 10:28:00 PDT,2007-08-07 10:38:00 PDT,35.36578333,-120.8541167,35.36353333,-120.8534167,10,6,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Otter,Otter 2,2,2007-08-07 10:50:00 PDT,2007-08-07 11:00:00 PDT,35.36285,-120.8532,35.36015,-120.8520167,10,6,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Otter,Otter 2,3,2007-08-07 11:10:00 PDT,2007-08-07 11:23:00 PDT,35.35883333,-120.8521667,35.35691667,-120.856,13,6,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Otter,Otter 3,1,2007-08-07 08:32:00 PDT,2007-08-07 08:45:00 PDT,35.36271667,-120.8646,35.36655,-120.8659667,13,5,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Otter,Otter 3,2,2007-08-07 09:02:00 PDT,2007-08-07 09:15:00 PDT,35.36636667,-120.8728333,35.3795,-120.8638667,13,8,,,,,,,Stephens
Pre-Decline,2007,Summer,8/7/2007,Otter,Otter 3,3,2007-08-07 09:28:00 PDT,2007-08-07 09:42:00 PDT,35.36885,-120.8635333,35.37036667,-120.8602167,14,9,,,,,,,Stephens
Post-Decline,2016,Fall,10/4/2016,Beam,Beam 1,1,2016-10-04 13:30:00 PDT,2016-10-04 13:40:00 PDT,35.34776667,-120.8482,35.3523,-120.848,10,1.07,1.52,0.61,0.61,1.22,315°NW,1.8,"O'Leary, Stephens, Willits, McKechnie"
Post-Decline,2016,Fall,10/4/2016,Beam,Beam 1,2,2016-10-04 14:43:00 PDT,2016-10-04 14:53:00 PDT,35.3478,-120.8482167,35.35236667,-120.8479,10,0.96,1.31,0.61,0.61,1.31,330°NW,1.8,"O'Leary, Stephens, Willits, McKechnie"
Post-Decline,2016,Fall,10/4/2016,Beam,Beam 1,3,2016-10-04 15:39:00 PDT,2016-10-04 15:49:00 PDT,35.34768333,-120.8481333,35.3521,-120.8471,10,1.4,1.13,1.68,0.61,2.44,335°NW,1.6,"O'Leary, Stephens, Willits, McKechnie"
Post-Decline,2016,Fall,10/4/2016,Beam,Beam 3,1,2016-10-04 10:47:00 PDT,2016-10-04 10:58:00 PDT,35.34031667,-120.8456667,35.34373333,-120.8465333,11,1.26,0.91,1.62,0.61,4.08,330°NW,1.6,"O'Leary, Stephens, Willits, McKechnie"
Post-Decline,2016,Fall,10/4/2016,Beam,Beam 3,2,2016-10-04 11:42:00 PDT,2016-10-04 11:52:00 PDT,35.33776667,-120.8430167,35.34038333,-120.84455,10,0.61,0.61,0.61,0.61,1.71,350°NW,1.5,"O'Leary, Stephens, Willits, McKechnie"
Post-Decline,2016,Fall,10/4/2016,Beam,Beam 3,3,2016-10-04 12:25:00 PDT,2016-10-04 12:35:00 PDT,35.34171667,-120.8459333,35.34543333,-120.8468,10,1.22,0.91,1.52,0.61,2.74,300°NW,1.5,"O'Leary, Stephens, Willits, McKechnie"
Post-Decline,2016,Fall,10/5/2016,Beam,Beam 4,1,2016-10-05 12:46:00 PDT,2016-10-05 12:56:00 PDT,35.32529,-120.84918,35.32824,-120.84907,10,1.26,1.31,1.22,1.22,1.37,330°NW,1,"O'Leary, Stephens, Mundahl"
Post-Decline,2016,Fall,10/5/2016,Beam,Beam 4,2,2016-10-05 13:09:00 PDT,2016-10-05 13:19:00 PDT,35.32392,-120.8513,35.32663,-120.8526,10,1.19,1.16,1.22,1.07,1.25,300°NW,1,"O'Leary, Stephens, Mundahl"
Post-Decline,2016,Fall,10/5/2016,Beam,Beam 4,3,2016-10-05 13:35:00 PDT,2016-10-05 13:45:00 PDT,35.32515,-120.85379,35.32869,-120.85215,10,1.14,1.13,1.16,0.98,1.16,340°NW,1.1,"O'Leary, Stephens, Mundahl"
Post-Decline,2016,Fall,10/6/2016,Beam,Beam 2,1,2016-10-06 12:12:00 PDT,2016-10-06 12:22:00 PDT,35.34269,-120.85034,35.34584,-120.85193,10,0.76,0.61,0.91,0.61,2.74,270°NW,1.2,"O'Leary, Stephens, Yoger, Caroline"
Post-Decline,2016,Fall,10/6/2016,Beam,Beam 2,2,2016-10-06 12:49:00 PDT,2016-10-06 12:59:00 PDT,35.34357,-120.85429,35.34639,-120.8539,10,0.99,1.07,0.91,0.76,1.71,0°,1.2,"O'Leary, Stephens, Yoger, Caroline"
Post-Decline,2016,Fall,10/6/2016,Beam,Beam 2,3,2016-10-06 13:17:00 PDT,2016-10-06 13:27:00 PDT,35.34366,-120.85454,35.34712,-120.85465,10,0.94,1.19,0.7,0.7,1.98,330°NW,1.3,"O'Leary, Stephens, Yoger, Caroline"
Post-Decline,2016,Fall,10/6/2016,Beam,Beam 2,4,2016-10-06 13:43:00 PDT,2016-10-06 13:53:00 PDT,35.34345,-120.85484,35.34583,-120.85265,10,1.05,1.13,0.98,0.76,1.52,325°NW/0°,1.7,"O'Leary, Stephens, Yoger, Caroline"
Post-Decline,2016,Fall,10/5/2016,Otter,Otter 1,1,2016-10-05 14:24:00 PDT,2016-10-05 02:34:00 PDT,35.33999,-120.84689,35.34575,-120.84731,10,,5.21,,4.94,5.79,330°NW,1.5,"O'Leary, Stephens, Mundahl"
Post-Decline,2016,Fall,10/5/2016,Otter,Otter 1,2,2016-10-05 15:06:00 PDT,2016-10-05 15:16:00 PDT,35.34525,-120.84741,35.35023,-120.84589,10,5.07,5.12,5.03,5.03,7.01,330°NW,1.6,"O'Leary, Stephens, Mundahl"
Post-Decline,2016,Fall,10/5/2016,Otter,Otter 1,3,2016-10-05 15:40:00 PDT,2016-10-05 15:51:00 PDT,35.3496,-120.84492,35.35489,-120.84854,11,4.54,6.16,2.93,2.68,11.92,300°NW,1,"O'Leary, Stephens, Mundahl"
Post-Decline,2016,Fall,10/5/2016,Otter,Otter 3,1,2016-10-05 09:06:00 PDT,2016-10-05 09:16:00 PDT,35.36219,-120.86531,35.36792,-120.86417,10,6.63,5.18,8.08,3.66,8.08,330°NW,1.4,"O'Leary, Stephens, Mundahl"
Post-Decline,2016,Fall,10/5/2016,Otter,Otter 3,3,2016-10-05 10:25:00 PDT,2016-10-05 10:35:00 PDT,35.37069,-120.86069,35.36647,-120.85458,10,6.69,7.47,5.91,5.91,7.47,60°/120°NW,1.5,"O'Leary, Stephens, Mundahl"
Post-Decline,2016,Fall,10/6/2016,Otter,Otter 2,1,2016-10-06 09:14:00 PDT,2016-10-06 09:24:00 PDT,35.35308,-120.84797,35.35646,-120.85018,10,3.66,2.59,4.72,2.59,4.72,280°NW,1.4,"O'Leary, Stephens, Yoger, Doehring"
Post-Decline,2016,Fall,10/6/2016,Otter,Otter 2,2,2016-10-06 09:58:00 PDT,2016-10-06 10:08:00 PDT,35.35574,-120.84978,35.35863,-120.85216,10,5.56,4.72,6.4,4.72,9.2,270°NW,1.4,"O'Leary, Stephens, Yoger, Caroline"
Post-Decline,2016,Fall,10/6/2016,Otter,Otter 2,3,2016-10-06 10:31:00 PDT,2016-10-06 10:41:00 PDT,35.35805,-120.85204,35.3608,-120.85282,10,6.1,8.47,3.72,3.72,8.53,290°NW,1.5,"O'Leary, Stephens, Yoger, Caroline"
Post-Decline,2017,Summer,6/15/2017,Beam,Beam 2,1,2017-06-15 12:28:00 PDT,2017-06-15 12:39:00 PDT,35.34536667,-120.8523333,35.3465,-120.84975,11,0.84,0.91,0.76,0.76,0.91,75°E,1.1,"O'Leary, McKechnie, Hart, Pass"
Post-Decline,2017,Summer,6/15/2017,Beam,Beam 2,2,2017-06-15 13:40:00 PDT,2017-06-15 13:50:00 PDT,35.34511667,-120.85345,35.34546667,-120.8490833,10,,0.82,,0.79,1.71,85°E,1.4,"O'Leary, McKechnie, Hart, Pass"
Post-Decline,2017,Summer,6/16/2017,Beam,Beam 1,1,2017-06-16 13:22:00 PDT,2017-06-16 13:32:00 PDT,35.34943333,-120.8467333,35.35066667,-120.8467,10,0.9,0.94,0.85,0.7,1.71,30°N,1,"O'Leary, Boland, Stephens"
Post-Decline,2017,Summer,6/16/2017,Beam,Beam 1,2,2017-06-16 13:44:00 PDT,2017-06-16 13:54:00 PDT,35.34956667,-120.84665,35.35096667,-120.8467333,10,1.11,1.04,1.19,0.61,1.74,,1,"O'Leary, Boland, Stephens"
Post-Decline,2017,Summer,6/16/2017,Beam,Beam 1,3,2017-06-16 14:03:00 PDT,2017-06-16 14:13:00 PDT,35.34996667,-120.8469833,35.35105,-120.8468833,10,0.7,0.79,0.61,0.3,1.43,,0.8,"O'Leary, Boland, Stephens"
Post-Decline,2017,Summer,6/16/2017,Beam,Beam 2,3,2017-06-16 12:26:00 PDT,2017-06-16 12:36:00 PDT,35.34545,-120.8517,35.34265,-120.8482167,10,1.89,0.91,2.87,0.91,2.87,118°/130°SE,1.2,"O'Leary, Boland, Stephens"
Post-Decline,2017,Summer,6/16/2017,Beam,Beam 3,1,2017-06-16 14:25:00 PDT,2017-06-16 14:35:00 PDT,35.33995,-120.8457333,35.34218333,-120.8465667,10,0.67,0.61,0.73,0.61,0.88,,0.8,"O'Leary, Boland, Stephens"
