Season,Year,Date,CollectorNames,TrawlType,Site,Replicate,Common_Name,Genus,Species,Length_mm,weight_g,trophic_level
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,74.45,0.158201977,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,88.02,0.265403346,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,90.66,0.290780003,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,131.85,0.925118983,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,132.74,0.944551368,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,149.09,1.352402263,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,194.62,3.081337399,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Arrow Goby,Clevelandia,ios,48.25,1.075275987,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,California Killifish,Fundulus,parvipinnis,51.32,1.676907775,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,California Killifish,Fundulus,parvipinnis,54.86,2.070387848,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Pacific Staghorn Sculpin,Leptocottus,armatus,83.62,8.241392425,3.68
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Pacific Staghorn Sculpin,Leptocottus,armatus,108.57,18.7100769,3.68
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Pacific Staghorn Sculpin,Leptocottus,armatus,119.55,25.31933904,3.68
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,56.66,0.06804161,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,62.49,0.092088309,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,64.32,0.100679078,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,64.85,0.103264683,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,68.16,0.120436017,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,71.5,0.139622576,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,71.59,0.140166354,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,73.93,0.154812477,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,74.43,0.158070693,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,74.51,0.158596274,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,79.51,0.193844372,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,87.05,0.256469364,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,93.98,0.324959689,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,96.18,0.349045406,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,171.01,2.066266977,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,171.17,2.07224652,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,181.61,2.488237505,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,187.58,2.749769944,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,2,Bay Pipefish,Syngnathus,leptorhynchus,218.34,4.396143838,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Arrow Goby,Clevelandia,ios,36.24,0.44785148,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Shiner Perch,Cymatogaster,aggregata,76.07,8.939209765,2.99
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,California Killifish,Fundulus,parvipinnis,64.13,3.390914893,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Three-Spined Stickleback,Gasterosteus,aculeatus,49.25,1.356238002,3.380000114
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Longjaw Mudsucker,Gillichthys,mirabilis,67.52,4.37802675,3.2
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Pacific Staghorn Sculpin,Leptocottus,armatus,100.67,14.75886285,3.68
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,34.78,0.015061158,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,56.28,0.0666414,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,74.07,0.155720154,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,76.08,0.169151493,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,76.65,0.173098199,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,78.02,0.182837953,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,88.18,0.266896925,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,118.14,0.658956285,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,138.22,1.070320945,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,162.09,1.751042573,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,176.31,2.270626697,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,187.26,2.735300767,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,189.25,2.826121785,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,3,Bay Pipefish,Syngnathus,leptorhynchus,195.01,3.100457229,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Arrow Goby,Clevelandia,ios,30.59,0.266619159,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Arrow Goby,Clevelandia,ios,31.02,0.278254402,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,California Killifish,Fundulus,parvipinnis,61.52,2.973685014,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,56.82,0.068637077,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,64.12,0.099714872,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,65.51,0.106546812,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,67.08,0.114636394,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,68.91,0.124578223,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,71.79,0.141379875,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,71.88,0.14192827,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,71.9,0.142050331,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,74.69,0.15978315,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,78.27,0.184654357,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,81.52,0.209390159,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,85.08,0.238955425,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,85.47,0.242356306,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,89.66,0.280983015,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,92.91,0.313662775,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,94.83,0.334127597,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,95.64,0.34302537,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,96.6,0.353776759,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,99.26,0.384753408,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,103.23,0.434320465,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,113.99,0.590022057,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,126.04,0.804861062,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,128.24,0.849068291,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,142.07,1.165151327,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,143.41,1.199445267,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,159.89,1.67864091,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,165.56,1.869486008,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,169.28,2.002356666,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,172.19,2.110641484,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,174.28,2.190810994,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,178.28,2.349941716,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,199.62,3.332579333,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,1,Bay Pipefish,Syngnathus,leptorhynchus,208.68,3.822484535,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,California Killifish,Fundulus,parvipinnis,49.71,1.516232017,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,California Killifish,Fundulus,parvipinnis,51.52,1.697645753,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,California Killifish,Fundulus,parvipinnis,55.04,2.091930227,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,California Killifish,Fundulus,parvipinnis,62.26,3.088191187,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,California Killifish,Fundulus,parvipinnis,63.57,3.298225611,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Pacific Staghorn Sculpin,Leptocottus,armatus,47.98,1.440375901,3.68
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Pacific Staghorn Sculpin,Leptocottus,armatus,109.27,19.09148203,3.68
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Pacific Staghorn Sculpin,Leptocottus,armatus,127.97,31.35207832,3.68
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,61.06,0.085731119,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,62.24,0.090954668,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,64.29,0.100534047,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,67.76,0.118265419,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,76.41,0.171428922,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,82.02,0.213384098,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,83.62,0.226510523,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,84.74,0.236017018,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,94.24,0.327745687,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,98.66,0.377612195,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,102.49,0.424771913,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,103.21,0.434060506,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,103.34,0.435752122,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,111.23,0.546985438,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,112.78,0.570883035,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,118.93,0.672667527,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,135.24,1.000610208,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,151.76,1.428650806,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,156.05,1.557166446,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,157.75,1.610183326,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,163.08,1.784301127,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,167.86,1.950908425,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,203.49,3.536291606,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,2,Bay Pipefish,Syngnathus,leptorhynchus,215.07,4.195866568,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Arrow Goby,Clevelandia,ios,32.63,0.32485264,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,California Killifish,Fundulus,parvipinnis,48.25,1.379923134,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,California Killifish,Fundulus,parvipinnis,67.96,4.07309014,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,California Killifish,Fundulus,parvipinnis,71.07,4.691720461,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Kelp Bass,Paralabrax,clathratus,22.95,0.041297337,3.98
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Shadow Goby,Quietula,y-cauda,62.91,1.802592757,3.2
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Shadow Goby,Quietula,y-cauda,30.4,0.203403919,3.2
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,57.07,0.069574534,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,62.59,0.092544429,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,62.92,0.094060461,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,79.61,0.194598701,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,79.65,0.194900987,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,87.73,0.262710662,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,88.97,0.27435487,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,99.48,0.387394569,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,105.63,0.466286319,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,107.8,0.496525948,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,107.9,0.49795058,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,116.38,0.629091893,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,117.18,0.642550512,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,125.74,0.798956174,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,127.89,0.841928155,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,128.38,0.851935775,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,131.07,0.908312255,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,135.95,1.016931601,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,138.12,1.06792998,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,141.87,1.160090407,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,145.48,1.253753481,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,155.37,1.536294658,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,159.2,1.656357369,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,161.89,1.744374983,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,170.41,2.043947632,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,174.26,2.190034222,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,175.18,2.225958951,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,191.82,2.946402593,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,198.57,3.278710813,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,211.76,3.999518562,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 4,3,Bay Pipefish,Syngnathus,leptorhynchus,221.15,4.573330993,3.24000001
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,36.75,0.427163257,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,38.25,0.484531808,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,40.37,0.574272895,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,46.21,0.878924476,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,47.01,0.927753388,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,48.8,1.043651969,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,48.93,1.052434769,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,50.07,1.131625358,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,53.27,1.37547833,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,53.55,1.39838129,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,53.95,1.431549343,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,54.7,1.495179506,3.4
Fall,2006,11/11/2006,Stephens,Otter,Otter 2,1,Speckled Sanddab,Citharichthys,stigmaeus,55.97,1.607283456,3.4
